id,estacion
1, Observatorio
T197, Tacubaya
3, Juanacatlán
4, Chapultepec
5, Sevilla
6, Insurgentes
7, Cuauhtémoc
T13, Balderas
T18, Salto del Agua
10, Isabel la Católica
T12, Pino Suárez
12, Merced
T14, Candelaria
T1B, San Lázaro
15, Moctezuma
16, Balbuena
17, Boulevard Puerto Aéreo
18, Gomez Farias
19, Zaragoza
T159A, Pantitlan
21, Cuatro Caminos
22, Panteones
T27, Tacuba
24, Cuitláhuac
25, Popotla
26, Colegio Militar
27, Normal
28, San Cosme
29, Revolución
T23, Hidalgo
T28, Bellas Artes
32, Allende
33, Zócalo
35, San Antonio Abad
T289, Chabacano
37, Viaducto
38, Xola
39, Villa de Cortés
40, Nativitas
41, Portales
T212, Ermita
43, General Anaya
44, Tasqueña
45, Indios Verdes
T36, Deportivo 18 de marzo
47, Potrero
T35, La Raza
49, Tlatelolco
T3B, Guerrero
52, Juárez
54, Niños Héroes
55, Hospital General
T39, Centro Médico
57, Etiopía
58, Eugenia
59, División del Norte
T312, Zapata
61, Coyoacán
62, Viveros
63, Miguel Ángel de Quevedo
64, Copilco
65, Universidad
T46, Martín Carrera
66, Talismán
68, Bondojito
T45, Consulado
70, Canal del Norte
T4B, Morelos
73, Fray Servando
T49, Jamaica
T48, Santa Anita
77, Hangares
78, Terminal Aérea
T5B, Oceania
80, Aragón
81, Eduardo Molina
83, Valle Gómez
84, Misterios
86, Autobuses del Norte
T63, Instituto del Petróleo
88, Politécnico
T67, El Rosario
90, Tezozómoc
91, Azcapotzalco
92, Ferrería/Arena Ciudad de México
93, Norte 45
94, Vallejo
96, Lindavista
98, La Villa-Basílica
101, Aquiles Serdán
102, Camarones
103, Refinería
105, San Joaquín
106, Polanco
107, Auditorio
108, Constituyentes
110, San Pedro de los Pinos
111, San Antonio
T712, Mixcoac
113, Barranca del Muerto
114, Garibaldi-Lagunilla
116, San Juan de Letrán
118, Doctores
119, Obrera
121, La Viga
123, Coyuya
124, Iztacalco
125, Apatlaco
126, Aculco
127, Escuadrón 201
T812, Atlalilco
129, Iztapalapa
130, Cerro de la Estrella
131, UAM-I
132, Constitución de 1917
134, Patriotismo
135, Chilpancingo
137, Lázaro Cárdenas
140, Mixiuhca
141, Velódromo
142, Ciudad Deportiva
143, Puebla
146, Agrícola Oriental
147, Canal de San Juan
148, Tepalcates
149, Guelatao
150, Peñón Viejo
151, Acatitla
152, Santa Martha
153, Los Reyes
154, La Paz
155, Ciudad Azteca
156, Plaza Aragón
157, Olímpica
158, Ecatepec
159, Muzquiz
160, Río de los Remedios
161, Impulsora
162, Nezahualcóyotl
163, Villa de Aragón
164, Bosque de Aragón
165, Deportivo Oceanía
167, Romero Rubio
168, Ricardo Flores M.
170, Tepito
171, Lagunilla
172, Garibaldi/Lagunilla
174, Buenavista
176, Insurgentes Sur
177, Hospital 20 de Noviembre
179, Parque de los Venados
180, Eje Central
182, Mexicaltzingo
184, Culhuacán
185, San Andrés Tomatlán
186, Lomas Estrella
187, Calle 11
188, Periférico Oriente
189, Tezonco
190, Olivos
191, Nopalera
192, Zapotitlán
193, Tlaltenco
194, Tláhuac


